date,zone_1,zone_2,zone_3,zone_4,zone_5
2004-01-01,1486969.0,402200.0,3258627.0,3515963.0,14661.0
2004-01-02,1426468.0,409477.0,3698050.0,3990102.0,14196.0
2004-01-03,1320876.0,368016.0,3330975.0,3594026.0,12355.0
2004-01-04,1170487.0,326785.0,3173938.0,3424578.0,11352.0
2004-01-05,1219942.0,348839.0,4046833.0,4366437.0,11506.0
2004-01-06,1606993.0,521793.0,4724497.0,5097642.0,14952.0
2004-01-07,1968050.0,663385.0,5392437.0,5818345.0,18067.0
2004-01-08,1945891.0,618726.0,5230353.0,5643461.0,17165.0
2004-01-09,1889552.0,608845.0,4938671.0,5328731.0,16745.0
2004-01-10,2103718.0,654233.0,5352922.0,5775712.0,18058.0
2004-01-11,2213188.0,698740.0,5048471.0,5447208.0,18348.0
2004-01-12,1731053.0,497215.0,4554831.0,4914567.0,14784.0
2004-01-13,1602672.0,447034.0,4496018.0,4851110.0,14916.0
2004-01-14,1684888.0,493925.0,4779945.0,5157464.0,15084.0
2004-01-15,1636839.0,494945.0,4989333.0,5383388.0,16077.0
2004-01-16,1899538.0,577138.0,5520897.0,5956952.0,18199.0
2004-01-17,1843769.0,535128.0,4863205.0,5247304.0,18290.0
2004-01-18,1607499.0,473455.0,4310494.0,4650925.0,16001.0
2004-01-19,1809168.0,588624.0,5257342.0,5672580.0,17273.0
2004-01-20,1982888.0,650131.0,5419830.0,5847899.0,18182.0
2004-01-21,1977175.0,647076.0,5418138.0,5846076.0,18710.0
2004-01-22,1780490.0,541922.0,4988787.0,5382807.0,17046.0
2004-01-23,1873908.0,598802.0,5399707.0,5826190.0,18488.0
2004-01-24,1723368.0,514386.0,5057322.0,5456753.0,18155.0
2004-01-25,2205497.0,727768.0,5375522.0,5800097.0,19319.0
2004-01-26,2253484.0,752017.0,5481182.0,5914101.0,17913.0
2004-01-27,2033684.0,637944.0,5290501.0,5708361.0,16165.0
2004-01-28,1982315.0,640669.0,5208194.0,5619552.0,17746.0
2004-01-29,1834659.0,543388.0,4911427.0,5299335.0,16361.0
2004-01-30,1763622.0,554822.0,5109784.0,5513363.0,16633.0
2004-01-31,2068604.0,692317.0,5295329.0,5713566.0,19141.0
2004-02-01,1879943.0,595857.0,4894323.0,5280878.0,17591.0
2004-02-02,1709072.0,588250.0,5143120.0,5549333.0,16229.0
2004-02-03,1566647.0,518615.0,4829194.0,5210607.0,15211.0
2004-02-04,1599308.0,482195.0,4577317.0,4938833.0,14829.0
2004-02-05,1743235.0,579788.0,4945595.0,5336199.0,16333.0
2004-02-06,1666543.0,587344.0,4699184.0,5070328.0,7791.0
2004-02-07,1550706.0,527278.0,4291406.0,4630334.0,12628.0
2004-02-08,1668556.0,545548.0,4460672.0,4812971.0,14718.0
2004-02-09,1709439.0,552083.0,4724435.0,5097569.0,16441.0
2004-02-10,1510555.0,474181.0,4285273.0,4623716.0,14785.0
2004-02-11,1522678.0,477764.0,4378506.0,4724310.0,14847.0
2004-02-12,1648866.0,517035.0,4474805.0,4828216.0,14753.0
2004-02-13,1541950.0,468096.0,4498054.0,4853308.0,14501.0
2004-02-14,1494582.0,463491.0,4380600.0,4726571.0,16028.0
2004-02-15,1612816.0,519970.0,4468162.0,4821049.0,16116.0
2004-02-16,1798602.0,581618.0,5248530.0,5663065.0,16319.0
2004-02-17,1913336.0,597875.0,5196936.0,5607403.0,15730.0
2004-02-18,1672902.0,543771.0,4950170.0,5341139.0,15559.0
2004-02-19,1470915.0,429512.0,4435079.0,4785357.0,14023.0
2004-02-20,1331475.0,398988.0,4202881.0,4534813.0,13827.0
2004-02-21,1202497.0,389689.0,3955018.0,4267365.0,14702.0
2004-02-22,1380043.0,453487.0,4208131.0,4540475.0,15028.0
2004-02-23,1503684.0,481594.0,4557304.0,4917235.0,14491.0
2004-02-24,1398020.0,443550.0,4672935.0,5042009.0,14407.0
2004-02-25,1535181.0,465045.0,4712306.0,5084482.0,14472.0
2004-02-26,1753315.0,553156.0,4905889.0,5293359.0,16000.0
2004-02-27,1584224.0,461507.0,4525311.0,4882715.0,14927.0
2004-02-28,1477935.0,457216.0,4048414.0,4368143.0,15206.0
2004-02-29,1389339.0,423322.0,3815717.0,4117062.0,14472.0
2004-03-01,1365555.0,374131.0,4009059.0,4325679.0,12747.0
2004-03-02,1239152.0,333853.0,3740613.0,4036021.0,11738.0
2004-03-03,1187922.0,335324.0,3756324.0,4052979.0,11830.0
2004-03-04,1205441.0,311930.0,3846439.0,4150208.0,11715.0
2004-03-05,1151619.0,301368.0,3717870.0,4011485.0,11334.0
2004-03-06,1169293.0,310795.0,3298069.0,3558520.0,11989.0
2004-03-07,1183744.0,320288.0,3402088.0,3670759.0,12714.0
2004-03-08,1478839.0,436611.0,4367020.0,4711914.0,14153.0
2004-03-09,1522708.0,453023.0,4532180.0,4890127.0,14206.0
2004-03-10,1618233.0,450177.0,4540474.0,4899080.0,13934.0
2004-03-11,1545563.0,443043.0,4319409.0,4660545.0,13826.0
2004-03-12,1366042.0,372656.0,4189780.0,4520682.0,14405.0
2004-03-13,1464365.0,423125.0,3701077.0,3993367.0,15544.0
2004-03-14,1375317.0,376916.0,3543204.0,3823020.0,14203.0
2004-03-15,1237939.0,327863.0,3434776.0,3706025.0,11932.0
2004-03-16,1306138.0,396414.0,4133140.0,4459564.0,12948.0
2004-03-17,1473489.0,435715.0,4231530.0,4565725.0,13642.0
2004-03-18,1535099.0,409282.0,4018722.0,4336105.0,13388.0
2004-03-19,1339173.0,358918.0,3805319.0,4105840.0,13824.0
2004-03-20,1377089.0,391165.0,3441124.0,3712877.0,13919.0
2004-03-21,1267610.0,372889.0,3391587.0,3659424.0,13719.0
2004-03-22,1681250.0,497954.0,4344935.0,4688093.0,14679.0
2004-03-23,1667298.0,477075.0,4165497.0,4494477.0,13910.0
2004-03-24,1475860.0,414996.0,3755526.0,4052120.0,13066.0
2004-03-25,1271181.0,336976.0,3305921.0,3566990.0,11403.0
2004-03-26,1167709.0,306031.0,3102747.0,3347766.0,11075.0
2004-03-27,1127125.0,316257.0,2714411.0,2928753.0,11687.0
2004-03-28,1119333.0,308587.0,2684919.0,2896923.0,11281.0
2004-03-29,1292209.0,333941.0,3295561.0,3555815.0,11117.0
2004-03-30,1419903.0,403800.0,3790004.0,4089322.0,12174.0
2004-03-31,1370868.0,414142.0,3778295.0,4076685.0,12688.0
2004-04-01,1298600.0,387838.0,3881036.0,4187539.0,12915.0
2004-04-02,1332055.0,406332.0,3976996.0,4291085.0,13170.0
2004-04-03,1286582.0,396503.0,3417182.0,3687041.0,13163.0
2004-04-04,1299635.0,416434.0,3581733.0,3864595.0,13438.0
2004-04-05,1392649.0,430457.0,4220276.0,4553585.0,13630.0
2004-04-06,1340784.0,389716.0,3817085.0,4118537.0,12477.0
2004-04-07,1175919.0,331260.0,3330812.0,3593848.0,11259.0
2004-04-08,1092163.0,312365.0,3609647.0,3894712.0,11149.0
2004-04-09,1079607.0,312402.0,3370484.0,3636653.0,11292.0
2004-04-10,1179128.0,346078.0,3161124.0,3410753.0,12007.0
2004-04-11,1213696.0,344299.0,3359895.0,3625228.0,12036.0
2004-04-12,1394740.0,428615.0,4167607.0,4496750.0,12756.0
2004-04-13,1275970.0,388398.0,4190340.0,4521283.0,12119.0
2004-04-14,1225542.0,399502.0,4063401.0,4384314.0,12432.0
2004-04-15,1128211.0,362996.0,3856631.0,4161211.0,11725.0
2004-04-16,1064804.0,336689.0,3643692.0,3931451.0,11294.0
2004-04-17,972809.0,331702.0,3154611.0,3403724.0,11359.0
2004-04-18,962562.0,351336.0,3137358.0,3385113.0,10969.0
2004-04-19,1067011.0,356241.0,3723505.0,4017569.0,10537.0
2004-04-20,1172514.0,350827.0,3721037.0,4014907.0,10053.0
2004-04-21,1223174.0,336173.0,3656607.0,3945386.0,9926.0
2004-04-22,1210433.0,337660.0,3648208.0,3936322.0,9765.0
2004-04-23,1238966.0,340396.0,3578860.0,3861493.0,10105.0
2004-04-24,1200120.0,356530.0,3119648.0,3366005.0,10589.0
2004-04-25,1118512.0,325254.0,2951518.0,3184586.0,10397.0
2004-04-26,1119447.0,315408.0,3446066.0,3718212.0,9983.0
2004-04-27,1105181.0,313706.0,3534757.0,3813910.0,10499.0
2004-04-28,1166316.0,337131.0,3608207.0,3893159.0,10536.0
2004-04-29,1162632.0,318229.0,3483329.0,3758419.0,10221.0
2004-04-30,1097117.0,303539.0,3180264.0,3431414.0,10167.0
2004-05-01,1092892.0,316088.0,2950233.0,3183205.0,10646.0
2004-05-02,1141228.0,336202.0,2999990.0,3236891.0,10604.0
2004-05-03,1158364.0,320619.0,3352174.0,3616902.0,10665.0
2004-05-04,1230935.0,341482.0,3532339.0,3811298.0,10535.0
