ds,yhat,yhat_lower,yhat_upper,y
2004-01-01,1526062.60113956,1309018.979887712,1765743.4156181957,1486969.0
2004-01-02,1516805.2549111173,1296288.7101372278,1758292.8044655747,1426468.0
2004-01-03,1536944.8954490358,1315202.3144291649,1760001.1215812857,1320876.0
2004-01-04,1510037.274676192,1271667.4381422522,1743659.0470994955,1170487.0
2004-01-05,1519601.903316797,1299098.0001231625,1736538.006453971,1219942.0
2004-01-06,1519210.679031906,1301695.1328585614,1745677.047691814,1606993.0
2004-01-07,1508494.3471211512,1280443.133160485,1749065.7809871584,1968050.0
2004-01-08,1515447.2319127675,1310682.4556930303,1736625.9403416347,1945891.0
2004-01-09,1521818.5315707347,1275382.0918438009,1737301.9750357145,1889552.0
2004-01-10,1557809.5141727105,1341371.5903333747,1789164.5451572672,2103718.0
2004-01-11,1546651.7305942574,1317249.669754925,1758704.1164974233,2213188.0
2004-01-12,1571545.8781043857,1342851.1336571283,1794998.5657346703,1731053.0
2004-01-13,1585757.364674786,1369473.6679367893,1815117.753307768,1602672.0
2004-01-14,1588629.312286086,1363548.6071154096,1815120.9712229907,1684888.0
2004-01-15,1607893.2859758066,1379101.572810884,1830183.776635326,1636839.0
2004-01-16,1625065.9060190711,1397523.7909658824,1851393.380294875,1899538.0
2004-01-17,1670150.5650506206,1433826.5444398778,1891134.9618790587,1843769.0
2004-01-18,1666219.2715507776,1439784.4857669258,1894285.157202843,1607499.0
2004-01-19,1696354.1834993144,1482079.7516873623,1924067.2923916904,1809168.0
2004-01-20,1713744.837476715,1508110.9335273127,1947399.83324413,1982888.0
2004-01-21,1717701.7928584872,1487480.471692502,1944549.53226672,1977175.0
2004-01-22,1735966.9852843052,1502381.8570427129,1939473.1415034952,1780490.0
2004-01-23,1750108.9796117898,1518579.0783016412,1965498.4178472445,1873908.0
2004-01-24,1790222.4010054115,1570481.9026981762,2043453.815714157,1723368.0
2004-01-25,1779506.6444894623,1556275.0587174592,2005369.7964827125,2205497.0
2004-01-26,1801203.525213087,1594165.9779444314,2024457.6671525943,2253484.0
2004-01-27,1808689.9897104881,1590275.2609814573,2038032.0490588504,2033684.0
2004-01-28,1801486.735991539,1568111.2385701966,2021348.2799290046,1982315.0
