ds,yhat,yhat_lower,yhat_upper
2008-06-23,1655380.0302010505,1425084.1392720474,1890739.206022421
2008-06-24,1657490.2463485927,1410550.0678827013,1889326.3691857413
2008-06-25,1645493.6054995356,1407182.108377024,1898240.7854224106
2008-06-26,1662488.7330267662,1421932.8469928112,1899786.9721165947
2008-06-27,1667849.7395340647,1424851.1762010537,1899884.8093070928
2008-06-28,1690098.2325425118,1450256.0911878673,1922103.1692225847
2008-06-29,1675427.883036364,1426034.3515519209,1925385.4870711626
2008-06-30,1691450.4073735692,1460281.50795253,1931474.0941896066
2008-07-01,1696520.918158348,1455214.3947221225,1940416.948620532
2008-07-02,1687773.6803940155,1439949.5706446809,1921009.1879088792
2008-07-03,1708167.6224405004,1478692.3552683608,1951510.4514797574
2008-07-04,1716933.233427974,1461428.892771706,1951553.5953353362
2008-07-05,1742448.942794671,1497457.0303016035,1988728.114829294
2008-07-06,1730770.0520113434,1494878.4273238776,1958407.2125133958
2008-07-07,1749378.9480656353,1513823.0215882296,1996773.1952449107
2008-07-08,1756514.4244606618,1512791.7436778736,1993305.0620138322
2008-07-09,1749211.0251402077,1505774.9527887255,1992147.6639735603
2008-07-10,1770347.6505596582,1512720.4758395096,2012122.2306042346
2008-07-11,1779096.961231066,1541623.1575053236,2026845.6811227445
2008-07-12,1803803.5950511063,1565949.7772862925,2041607.880487563
2008-07-13,1790514.2085899878,1572854.6993600992,2033696.147425821
2008-07-14,1806728.0334386828,1566710.0485557942,2047529.336292753
2008-07-15,1810725.7576264283,1567270.2349930261,2036441.0956825914
2008-07-16,1799607.65515839,1547634.5119018424,2040588.7490536345
2008-07-17,1816340.2338729897,1569090.5608631815,2057357.4822277264
2008-07-18,1820202.9905289398,1584224.8052572117,2033070.4879933172
2008-07-19,1839663.364203259,1575864.9660179387,2091279.0987113821
2008-07-20,1820902.9920774405,1587980.0874652974,2058676.9655537922
2008-07-21,1831564.0690949191,1590694.919283066,2075962.4553787543
2008-07-22,1830073.7452172237,1600227.8967746012,2074249.2796299935
